task_id,input_height,input_width,output_height,output_width,size_ratio,input_colors,output_colors,color_change,shape_change,grid_area,complexity_score,training_examples,pattern_type,confidence
0bb8deee,15,13,6,6,0.18461538461538463,6,5,True,True,195,4.18,3,extraction,0.85
0becf7df,10,10,10,10,1.0,5,5,False,False,100,2.26,3,symmetry,0.6
0c786b71,3,4,6,8,4.0,3,3,False,True,12,0.42,3,tiling,0.9
0c9aba6e,13,4,6,4,0.46153846153846156,4,2,True,True,52,1.24,4,extraction,0.85
0ca9ddb6,9,9,9,9,1.0,4,6,True,False,81,1.88,3,mapping,0.9
0d3d703e,3,3,3,3,1.0,3,3,True,False,9,0.38,4,mapping,0.9
0d87d2a6,10,20,10,20,1.0,3,3,False,False,200,4.18,3,symmetry,0.6
0e206a2e,14,15,14,15,1.0,5,5,False,False,210,4.46,3,symmetry,0.6
0e671a1a,13,13,13,13,1.0,4,5,True,False,169,3.64,4,mapping,0.9
0f63c0b9,15,15,15,15,1.0,4,4,False,False,225,4.74,4,symmetry,0.6
103eff5b,22,12,22,12,1.0,6,5,True,False,264,5.54,2,mapping,0.9
10fcaaa3,5,3,10,6,4.0,2,3,True,True,15,0.48,4,tiling,0.9
11852cab,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
1190bc91,10,10,10,10,1.0,10,10,False,False,100,2.46,3,symmetry,0.6
1190e5a7,11,11,3,2,0.049586776859504134,2,1,True,True,121,2.54,3,extraction,0.85
11dc524f,13,13,13,13,1.0,3,3,False,False,169,3.56,3,symmetry,0.6
11e1fe23,12,11,12,11,1.0,4,5,True,False,132,2.86,2,mapping,0.9
12422b43,13,6,13,6,1.0,5,5,False,False,78,1.86,5,symmetry,0.6
12997ef3,11,11,6,3,0.1487603305785124,4,3,True,True,121,2.64,4,extraction,0.85
12eac192,5,8,5,8,1.0,5,4,True,False,40,1.06,4,mapping,0.9
13713586,16,17,16,17,1.0,5,5,False,False,272,5.7,3,symmetry,0.6
137eaa0f,11,11,3,3,0.0743801652892562,6,5,True,True,121,2.7,3,extraction,0.85
137f0df0,10,10,10,10,1.0,2,4,True,False,100,2.18,3,mapping,0.9
13f06aa5,12,14,12,14,1.0,4,5,True,False,168,3.6,3,mapping,0.9
140c817e,9,9,9,9,1.0,2,4,True,False,81,1.8,3,mapping,0.9
14754a24,14,15,14,15,1.0,3,4,True,False,210,4.42,4,mapping,0.9
1478ab18,8,8,8,8,1.0,2,3,True,False,64,1.44,3,mapping,0.9
14b8e18c,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
150deff5,8,10,8,10,1.0,2,3,True,False,80,1.76,3,mapping,0.9
15113be4,23,23,23,23,1.0,4,4,False,False,529,10.8,3,symmetry,0.6
15660dd6,19,19,5,17,0.23545706371191136,9,6,True,True,361,7.56,2,extraction,0.85
15663ba9,12,15,12,15,1.0,2,4,True,False,180,3.78,3,mapping,0.9
15696249,3,3,9,9,9.0,3,4,True,True,9,0.4,4,tiling,0.9
17829a00,16,16,16,16,1.0,3,3,False,False,256,5.28,2,symmetry,0.6
178fcbfb,10,8,10,8,1.0,4,4,False,False,80,1.82,3,symmetry,0.6
17b80ad2,12,12,12,12,1.0,7,7,False,False,144,3.24,4,symmetry,0.6
17b866bd,16,21,16,21,1.0,3,3,False,False,336,6.88,2,symmetry,0.6
17cae0c1,3,9,3,9,1.0,2,3,True,False,27,0.72,4,mapping,0.9
18286ef8,12,12,12,12,1.0,8,7,True,False,144,3.24,3,mapping,0.9
182e5d0f,12,12,12,12,1.0,4,4,False,False,144,3.1,3,symmetry,0.6
18419cfa,18,17,18,17,1.0,3,3,False,False,306,6.3,3,symmetry,0.6
18447a8d,13,11,13,11,1.0,5,5,False,False,143,3.12,3,symmetry,0.6
184a9768,20,22,20,22,1.0,7,6,True,False,440,9.12,3,mapping,0.9
195ba7dc,5,13,5,6,0.46153846153846156,3,2,True,True,65,1.48,4,extraction,0.85
1990f7a8,17,19,7,7,0.15170278637770898,2,2,False,True,323,6.6,3,extraction,0.85
19bb5feb,16,15,2,2,0.016666666666666666,5,4,True,True,240,5.04,3,extraction,0.85
1a07d186,15,14,15,14,1.0,4,3,True,False,210,4.4,3,mapping,0.9
1a244afd,16,16,16,16,1.0,3,3,True,False,256,5.3,3,mapping,0.9
1a2e2828,11,12,1,1,0.007575757575757576,6,1,True,True,132,2.88,5,extraction,0.85
1a6449f1,21,23,8,10,0.16563146997929606,10,9,True,True,483,10.1,3,extraction,0.85
1acc24af,12,12,12,12,1.0,3,4,True,False,144,3.1,4,mapping,0.9
1b2d62fb,5,7,5,3,0.42857142857142855,3,2,True,True,35,0.9,5,extraction,0.85
1b59e163,18,18,18,18,1.0,5,4,True,False,324,6.7,2,mapping,0.9
1b60fb0c,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
1b8318e3,15,15,15,15,1.0,9,9,False,False,225,4.92,3,symmetry,0.6
1be83260,27,15,23,11,0.6246913580246913,5,4,True,True,405,8.32,2,extraction,0.85
1bfc4729,10,10,10,10,1.0,3,3,False,False,100,2.16,2,symmetry,0.6
1c02dbbe,15,15,15,15,1.0,4,4,False,False,225,4.72,3,symmetry,0.6
1c0d0a4b,9,13,9,13,1.0,2,2,True,False,117,2.48,3,mapping,0.9
1c56ad9f,15,15,15,15,1.0,2,2,False,False,225,4.66,4,symmetry,0.6
1c786137,13,16,5,3,0.07211538461538461,5,4,True,True,208,4.4,3,extraction,0.85
1caeab9d,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
1cf80156,11,12,5,3,0.11363636363636363,2,2,False,True,132,2.78,3,extraction,0.85
1d0a4b61,25,25,25,25,1.0,5,4,True,False,625,12.74,3,mapping,0.9
1d398264,20,20,20,20,1.0,6,6,False,False,400,8.3,3,symmetry,0.6
1d61978c,16,16,16,16,1.0,2,3,True,False,256,5.26,2,mapping,0.9
1da012fc,14,20,14,20,1.0,7,6,True,False,280,5.9,2,mapping,0.9
1e0a9b12,6,6,6,6,1.0,5,5,False,False,36,0.98,3,symmetry,0.6
1e32b0e9,17,17,17,17,1.0,3,3,False,False,289,5.96,3,symmetry,0.6
1e5d6875,8,8,8,8,1.0,3,5,True,False,64,1.48,2,mapping,0.9
1e81d6f9,15,15,15,15,1.0,10,10,False,False,225,4.96,3,symmetry,0.6
1efba499,12,12,12,12,1.0,4,4,False,False,144,3.1,3,symmetry,0.6
1f0c79e5,9,9,9,9,1.0,3,2,True,False,81,1.8,4,mapping,0.9
1f642eb9,10,10,10,10,1.0,7,7,False,False,100,2.34,3,symmetry,0.6
1f85a75f,30,30,3,3,0.01,3,2,True,True,900,18.14,2,extraction,0.85
1f876c06,10,10,10,10,1.0,5,5,False,False,100,2.26,3,symmetry,0.6
1fad071e,9,9,1,5,0.06172839506172839,3,2,True,True,81,1.78,3,extraction,0.85
2013d3e2,10,10,3,3,0.09,6,6,False,True,100,2.28,2,extraction,0.85
2037f2c7,25,25,4,8,0.0512,7,2,True,True,625,12.74,3,extraction,0.85
2072aba6,3,3,6,6,4.0,2,3,True,True,9,0.34,3,tiling,0.9
20818e16,16,15,6,9,0.225,4,3,True,True,240,5.0,3,extraction,0.85
20981f0e,14,16,14,16,1.0,3,3,False,False,224,4.66,3,symmetry,0.6
20fb2937,20,11,13,11,0.65,8,4,True,True,220,4.68,2,extraction,0.85
212895b5,18,17,18,17,1.0,3,5,True,False,306,6.34,3,mapping,0.9
21f83797,13,13,13,13,1.0,2,3,True,False,169,3.52,2,mapping,0.9
2204b7a8,10,10,10,10,1.0,4,3,True,False,100,2.2,3,mapping,0.9
22168020,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
22208ba4,16,16,16,16,1.0,2,2,False,False,256,5.28,4,symmetry,0.6
22233c11,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
22425bda,7,7,1,2,0.04081632653061224,3,2,True,True,49,1.16,4,extraction,0.85
22806e14,16,16,16,16,1.0,3,3,False,False,256,5.3,3,symmetry,0.6
2281f1f4,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
228f6490,10,10,10,10,1.0,5,5,False,False,100,2.26,3,symmetry,0.6
22a4bbc2,20,4,20,4,1.0,3,4,True,False,80,1.82,4,mapping,0.9
22eb0ac0,10,10,10,10,1.0,6,6,False,False,100,2.3,3,symmetry,0.6
230f2e48,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
234bbc79,3,11,3,9,0.8181818181818182,5,4,True,True,33,0.92,4,mapping,0.7
23581191,9,9,9,9,1.0,3,4,True,False,81,1.8,2,mapping,0.9
239be575,6,7,1,1,0.023809523809523808,3,1,True,True,42,1.04,6,extraction,0.85
23b5c85d,13,15,3,4,0.06153846153846154,4,1,True,True,195,4.1,5,extraction,0.85
25094a63,30,30,30,30,1.0,5,6,True,False,900,18.26,2,mapping,0.9
252143c9,11,11,11,11,1.0,5,2,True,False,121,2.6,2,mapping,0.9
253bf280,9,6,9,6,1.0,2,3,True,False,54,1.34,8,mapping,0.9
2546ccf6,19,18,19,18,1.0,4,4,False,False,342,7.04,2,symmetry,0.6
256b0a75,22,24,22,24,1.0,10,10,False,False,528,11.02,3,symmetry,0.6
25c199f5,5,17,5,5,0.29411764705882354,4,3,True,True,85,1.94,5,extraction,0.85
25d487eb,12,12,12,12,1.0,3,3,False,False,144,3.06,3,symmetry,0.6
25d8a9c8,3,3,3,3,1.0,3,2,True,False,9,0.36,4,mapping,0.9
25e02866,14,14,4,4,0.08163265306122448,4,3,True,True,196,4.1,2,extraction,0.85
25ff71a9,3,3,3,3,1.0,2,2,False,False,9,0.34,4,symmetry,0.6
2601afb7,9,9,9,9,1.0,5,5,False,False,81,1.88,3,symmetry,0.6
264363fd,30,30,30,30,1.0,4,4,False,False,900,18.22,3,symmetry,0.6
2685904e,10,10,10,10,1.0,6,6,False,False,100,2.36,6,symmetry,0.6
2697da3f,7,8,11,11,2.1607142857142856,2,2,False,True,56,1.28,4,tiling,0.7
272f95fa,12,14,12,14,1.0,2,7,True,False,168,3.58,2,mapping,0.9
2753e76c,16,16,4,4,0.0625,5,5,False,True,256,5.38,3,extraction,0.85
278e5215,15,10,6,5,0.2,6,4,True,True,150,3.26,3,extraction,0.85
27a28665,3,3,1,1,0.1111111111111111,2,1,True,True,9,0.38,7,extraction,0.85
27a77e38,5,5,5,5,1.0,7,7,False,False,25,0.84,3,symmetry,0.6
27f8ce4f,3,3,9,9,9.0,3,4,True,True,9,0.4,4,tiling,0.9
281123b4,4,19,4,4,0.21052631578947367,6,4,True,True,76,1.84,6,extraction,0.85
28bf18c6,8,8,3,6,0.28125,2,2,False,True,64,1.42,3,extraction,0.85
28e73c20,13,13,13,13,1.0,1,2,True,False,169,3.54,5,mapping,0.9
292dd178,7,9,7,9,1.0,2,3,True,False,63,1.42,3,mapping,0.9
29623171,11,11,11,11,1.0,3,3,False,False,121,2.6,3,symmetry,0.6
29700607,12,12,12,12,1.0,4,4,False,False,144,3.1,3,symmetry,0.6
29c11459,5,11,5,11,1.0,3,4,True,False,55,1.28,2,mapping,0.9
2a28add5,10,10,10,10,1.0,10,2,True,False,100,2.28,2,mapping,0.9
2a5f8217,9,9,9,9,1.0,5,4,True,False,81,1.86,3,mapping,0.9
2b01abd0,11,12,11,12,1.0,4,4,False,False,132,2.86,3,symmetry,0.6
2b9ef948,15,20,15,20,1.0,4,2,True,False,300,6.18,3,mapping,0.9
2bcee788,10,10,10,10,1.0,3,2,True,False,100,2.18,4,mapping,0.9
2bee17df,12,12,12,12,1.0,3,4,True,False,144,3.08,3,mapping,0.9
2c0b0aff,24,24,8,8,0.1111111111111111,3,2,True,True,576,11.7,4,extraction,0.85
2c608aff,14,12,14,12,1.0,3,3,False,False,168,3.56,4,symmetry,0.6
2c737e39,12,12,12,12,1.0,4,4,False,False,144,3.1,3,symmetry,0.6
2ccd9fef,24,11,8,11,0.3333333333333333,4,4,False,True,264,5.48,2,extraction,0.85
2dc579da,7,7,3,3,0.1836734693877551,3,2,True,True,49,1.14,3,extraction,0.85
2dd70a9a,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
2de01db2,3,10,3,10,1.0,6,4,True,False,30,0.86,3,mapping,0.9
2dee498d,4,12,4,4,0.3333333333333333,4,4,False,True,48,1.18,3,extraction,0.85
2e65ae53,22,22,22,22,1.0,6,6,False,False,484,9.96,2,symmetry,0.6
2f0c5170,21,22,5,5,0.05411255411255411,4,3,True,True,462,9.44,3,extraction,0.85
2f767503,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
2faf500b,12,12,12,12,1.0,3,2,True,False,144,3.04,3,mapping,0.9
305b1341,20,20,20,20,1.0,7,7,False,False,400,8.34,3,symmetry,0.6
30f42897,7,10,7,10,1.0,2,2,False,False,70,1.54,3,symmetry,0.6
310f3251,4,4,12,12,9.0,2,3,True,True,16,0.52,5,tiling,0.9
3194b014,20,20,3,3,0.0225,7,1,True,True,400,8.22,3,extraction,0.85
319f2597,20,20,20,20,1.0,10,10,False,False,400,8.46,3,symmetry,0.6
31aa019c,10,10,10,10,1.0,9,3,True,False,100,2.3,3,mapping,0.9
31adaf00,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
31d5ba1a,6,5,3,5,0.5,3,2,True,True,30,0.8,5,extraction,0.85
320afe60,22,22,22,22,1.0,2,3,True,False,484,9.84,3,mapping,0.9
321b1fc6,10,10,10,10,1.0,4,3,True,False,100,2.18,2,mapping,0.9
32597951,17,17,17,17,1.0,3,4,True,False,289,5.98,3,mapping,0.9
32e9702f,8,8,8,8,1.0,2,2,True,False,64,1.42,3,mapping,0.9
33067df9,9,5,26,26,15.022222222222222,4,4,False,True,45,1.14,4,tiling,0.9
332202d5,16,16,16,16,1.0,6,5,True,False,256,5.4,3,mapping,0.9
332efdb3,5,5,5,5,1.0,1,2,True,False,25,0.62,3,mapping,0.9
3345333e,16,16,16,16,1.0,3,2,True,False,256,5.26,2,mapping,0.9
337b420f,5,17,5,5,0.29411764705882354,5,4,True,True,85,1.96,4,extraction,0.85
3391f8c0,9,10,9,10,1.0,3,3,False,False,90,2.0,4,symmetry,0.6
33b52de3,23,23,23,23,1.0,5,4,True,False,529,10.8,2,mapping,0.9
3428a4f5,13,5,6,5,0.46153846153846156,3,2,True,True,65,1.48,4,extraction,0.85
342ae2ed,16,16,16,16,1.0,5,5,False,False,256,5.38,3,symmetry,0.6
342dd610,10,10,10,10,1.0,2,2,False,False,100,2.16,4,symmetry,0.6
3490cc26,16,18,16,18,1.0,3,4,True,False,288,5.98,4,mapping,0.9
34b99a2b,5,9,5,4,0.4444444444444444,4,2,True,True,45,1.1,4,extraction,0.85
34cfa167,24,26,24,26,1.0,5,5,False,False,624,12.72,2,symmetry,0.6
351d6448,15,13,3,13,0.2,3,2,True,True,195,4.04,2,extraction,0.85
358ba94e,16,19,5,5,0.08223684210526316,2,2,False,True,304,6.24,4,extraction,0.85
3618c87e,5,5,5,5,1.0,3,3,False,False,25,0.68,3,symmetry,0.6
363442ee,9,13,9,13,1.0,6,5,True,False,117,2.62,3,mapping,0.9
36d67576,13,13,13,13,1.0,5,5,False,False,169,3.64,3,symmetry,0.6
36fdfd69,15,16,15,16,1.0,3,4,True,False,240,5.0,3,mapping,0.9
37ce87bb,6,7,6,7,1.0,3,4,True,False,42,1.04,3,mapping,0.9
37d3e8b2,17,17,17,17,1.0,2,5,True,False,289,5.98,3,mapping,0.9
3906de3d,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
396d80d7,16,16,16,16,1.0,3,3,False,False,256,5.28,2,symmetry,0.6
3979b1a8,5,5,10,10,4.0,3,3,False,True,25,0.66,2,tiling,0.9
39a8645d,14,14,3,3,0.04591836734693878,4,2,True,True,196,4.1,3,extraction,0.85
39e1d7f9,27,27,27,27,1.0,4,4,False,False,729,14.8,3,symmetry,0.6
3a301edc,16,17,16,17,1.0,3,3,False,False,272,5.66,5,symmetry,0.6
3aa6fb7a,7,7,7,7,1.0,2,3,True,False,49,1.12,2,mapping,0.9
3ac3eb23,6,7,6,7,1.0,2,2,False,False,42,0.96,2,symmetry,0.6
3ad05f52,22,26,22,26,1.0,3,3,False,False,572,11.62,3,symmetry,0.6
3af2c5a8,3,4,6,8,4.0,2,2,False,True,12,0.38,3,tiling,0.9
3b4c2228,7,5,3,3,0.2571428571428571,3,2,True,True,35,0.9,5,extraction,0.85
3bd292e8,7,7,7,7,1.0,2,3,True,False,49,1.14,3,mapping,0.9
3bd67248,3,3,3,3,1.0,2,4,True,False,9,0.36,3,mapping,0.9
3bdb4ada,8,20,8,20,1.0,3,3,False,False,160,3.36,2,symmetry,0.6
3befdf3e,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
3c9b0459,3,3,3,3,1.0,2,2,False,False,9,0.34,4,symmetry,0.6
3cd86f4f,4,9,4,12,1.3333333333333333,4,5,True,True,36,0.96,3,rule_based,0.5
3d31c5b3,12,6,3,6,0.25,5,3,True,True,72,1.72,6,extraction,0.85
3d588dc9,16,16,16,16,1.0,6,7,True,False,256,5.42,2,mapping,0.9
3d6c6e23,16,13,16,13,1.0,2,2,False,False,208,4.3,3,symmetry,0.6
3de23699,12,14,4,4,0.09523809523809523,3,2,True,True,168,3.54,4,extraction,0.85
3e980e27,13,13,13,13,1.0,5,5,False,False,169,3.66,4,symmetry,0.6
3eda0437,2,20,2,20,1.0,2,3,True,False,40,0.98,4,mapping,0.9
3ee1011a,21,22,6,6,0.07792207792207792,4,3,True,True,462,9.44,3,extraction,0.85
3f23242b,10,10,10,10,1.0,2,5,True,False,100,2.18,2,mapping,0.9
3f7978a0,9,11,5,7,0.35353535353535354,3,3,False,True,99,2.16,3,extraction,0.85
4093f84a,14,14,14,14,1.0,3,2,True,False,196,4.08,3,mapping,0.9
40f6cd08,30,30,30,30,1.0,4,4,False,False,900,18.22,3,symmetry,0.6
412b6263,9,6,15,11,3.0555555555555554,3,4,True,True,54,1.28,3,tiling,0.7
414297c0,16,20,9,6,0.16875,6,4,True,True,320,6.66,3,extraction,0.85
41ace6b5,11,11,11,11,1.0,5,6,True,False,121,2.7,3,mapping,0.9
41e4d17e,15,15,15,15,1.0,2,3,True,False,225,4.64,2,mapping,0.9
423a55dc,11,13,11,13,1.0,2,2,False,False,143,3.04,5,symmetry,0.6
4258a5f9,9,9,9,9,1.0,2,3,True,False,81,1.76,2,mapping,0.9
4290ef0e,18,18,7,7,0.15123456790123457,5,5,False,True,324,6.74,3,extraction,0.85
42918530,25,19,25,19,1.0,8,8,False,False,475,9.9,4,symmetry,0.6
42a15761,9,15,9,15,1.0,2,2,False,False,135,2.84,3,symmetry,0.6
42a50994,11,19,11,19,1.0,2,2,False,False,209,4.34,4,symmetry,0.6
42f14c03,16,16,4,4,0.0625,4,2,True,True,256,5.3,3,extraction,0.85
42f83767,15,20,15,15,0.75,5,4,True,True,300,6.24,3,extraction,0.85
4347f46a,8,7,8,7,1.0,2,2,False,False,56,1.26,3,symmetry,0.6
4364c1c4,12,12,12,12,1.0,3,3,False,False,144,3.06,3,symmetry,0.6
444801d8,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
445eab21,10,10,2,2,0.04,3,1,True,True,100,2.14,3,extraction,0.85
447fd412,14,12,14,12,1.0,3,3,False,False,168,3.54,3,symmetry,0.6
44d8ac46,12,12,12,12,1.0,2,3,True,False,144,3.06,4,mapping,0.9
44f52bb0,3,3,1,1,0.1111111111111111,2,1,True,True,9,0.36,6,extraction,0.85
4522001f,3,3,9,9,9.0,3,2,True,True,9,0.32,2,tiling,0.9
456873bc,11,11,11,11,1.0,3,3,True,False,121,2.6,3,mapping,0.9
45737921,7,7,7,7,1.0,3,3,False,False,49,1.16,3,symmetry,0.6
458e3a53,29,29,2,2,0.0047562425683709865,9,4,True,True,841,17.12,2,extraction,0.85
45bbe264,14,14,14,14,1.0,3,4,True,False,196,4.12,3,mapping,0.9
4612dd53,11,13,11,13,1.0,2,3,True,False,143,3.02,3,mapping,0.9
46442a0e,3,3,6,6,4.0,2,2,False,True,9,0.32,3,tiling,0.9
465b7d93,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
469497ad,5,5,15,15,9.0,4,5,True,True,25,0.74,3,tiling,0.9
46c35fc7,7,7,7,7,1.0,9,9,False,False,49,1.4,3,symmetry,0.6
46f33fce,10,10,20,20,4.0,6,6,False,True,100,2.3,3,tiling,0.9
470c91de,10,10,10,10,1.0,5,4,True,False,100,2.24,3,mapping,0.9
47c1f68c,9,9,8,8,0.7901234567901234,3,2,True,True,81,1.78,3,extraction,0.85
48131b3c,2,2,4,4,4.0,2,2,False,True,4,0.22,3,tiling,0.9
484b58aa,29,29,29,29,1.0,8,7,True,False,841,17.18,3,mapping,0.9
4852f2fa,9,9,3,3,0.1111111111111111,3,2,True,True,81,1.82,5,extraction,0.85
48634b99,16,16,16,16,1.0,3,3,False,False,256,5.3,3,symmetry,0.6
48d8fb45,10,10,3,3,0.09,3,2,True,True,100,2.16,3,extraction,0.85
48f8583b,3,3,9,9,9.0,4,5,True,True,9,0.48,6,tiling,0.9
4938f0c2,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
494ef9d7,10,10,10,10,1.0,9,9,False,False,100,2.44,4,symmetry,0.6
496994bd,10,5,10,5,1.0,3,3,False,False,50,1.16,2,symmetry,0.6
49d1d64f,2,3,4,5,3.3333333333333335,4,5,True,True,6,0.36,3,tiling,0.7
4a1cacc2,6,8,6,8,1.0,2,2,False,False,48,1.12,4,symmetry,0.6
4acc7107,10,10,10,10,1.0,3,3,False,False,100,2.2,4,symmetry,0.6
4b6b68e5,19,18,19,18,1.0,6,6,False,False,342,7.14,3,symmetry,0.6
4be741c5,9,7,3,1,0.047619047619047616,3,3,False,True,63,1.44,3,extraction,0.85
4c177718,15,15,9,15,0.6,5,3,True,True,225,4.74,4,extraction,0.85
4c4377d9,3,4,6,4,2.0,2,2,False,True,12,0.4,4,tiling,0.7
4c5c2cf0,14,14,14,14,1.0,3,3,False,False,196,4.1,3,symmetry,0.6
4cd1b7b2,4,4,4,4,1.0,5,4,True,False,16,0.56,3,mapping,0.9
4df5b0ae,10,10,10,10,1.0,6,5,True,False,100,2.28,3,mapping,0.9
4e45f183,19,19,19,19,1.0,3,3,False,False,361,7.4,3,symmetry,0.6
4e469f39,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
4e7e0eb9,9,9,9,9,1.0,5,5,False,False,81,1.9,4,symmetry,0.6
4f537728,20,20,20,20,1.0,3,3,False,False,400,8.16,2,symmetry,0.6
4ff4c9da,23,23,23,23,1.0,4,4,False,False,529,10.8,3,symmetry,0.6
5034a0b5,12,12,12,12,1.0,6,6,False,False,144,3.2,4,symmetry,0.6
505fff84,6,12,3,4,0.16666666666666666,4,2,True,True,72,1.66,5,extraction,0.85
506d28a5,9,5,4,5,0.4444444444444444,4,2,True,True,45,1.1,4,extraction,0.85
50846271,18,19,18,19,1.0,3,4,True,False,342,7.06,4,mapping,0.9
508bd3b6,12,12,12,12,1.0,3,4,True,False,144,3.08,3,mapping,0.9
50a16a69,20,20,20,20,1.0,5,4,True,False,400,8.24,3,mapping,0.9
50aad11f,12,14,4,8,0.19047619047619047,4,3,True,True,168,3.56,3,extraction,0.85
50c07299,16,16,16,16,1.0,2,2,False,False,256,5.26,3,symmetry,0.6
50cb2852,12,11,12,11,1.0,3,4,True,False,132,2.84,3,mapping,0.9
50f325b5,15,18,15,18,1.0,6,6,False,False,270,5.72,4,symmetry,0.6
5117e062,13,13,3,3,0.05325443786982249,5,2,True,True,169,3.58,3,extraction,0.85
5168d44c,13,7,13,7,1.0,3,3,False,False,91,2.0,3,symmetry,0.6
516b51b7,12,13,12,13,1.0,2,4,True,False,156,3.3,3,mapping,0.9
5207a7b5,11,8,11,8,1.0,2,4,True,False,88,1.94,3,mapping,0.9
522fdd07,16,16,16,16,1.0,6,6,False,False,256,5.44,4,symmetry,0.6
52364a65,11,11,11,11,1.0,5,5,False,False,121,2.66,2,symmetry,0.6
5289ad53,10,14,2,3,0.04285714285714286,3,3,True,True,140,3.0,4,extraction,0.85
52df9849,16,16,16,16,1.0,3,3,False,False,256,5.28,2,symmetry,0.6
52fd389e,25,25,25,25,1.0,4,4,False,False,625,12.72,3,symmetry,0.6
538b439f,20,20,20,20,1.0,4,4,False,False,400,8.2,2,symmetry,0.6
539a4f51,5,5,10,10,4.0,4,3,True,True,25,0.7,3,tiling,0.9
53b68214,8,10,10,10,1.25,2,2,False,True,80,1.74,3,rule_based,0.5
543a7ed5,15,15,15,15,1.0,2,4,True,False,225,4.66,2,mapping,0.9
54d82841,5,5,5,5,1.0,2,3,True,False,25,0.66,3,mapping,0.9
54d9e175,3,11,3,11,1.0,5,4,True,False,33,0.92,4,mapping,0.9
54db823b,15,15,15,15,1.0,3,3,False,False,225,4.7,4,symmetry,0.6
54dc2872,12,13,12,13,1.0,10,10,False,False,156,3.56,2,symmetry,0.6
55059096,14,16,14,16,1.0,2,3,True,False,224,4.64,3,mapping,0.9
551d5bf1,24,25,24,25,1.0,2,3,True,False,600,12.14,2,mapping,0.9
5521c0d9,15,15,15,15,1.0,4,4,False,False,225,4.72,3,symmetry,0.6
